nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
60,0.5984232262353274,0.5775370914372822,0.6358568038653083,nan,2.0592657958989235e-06
61,0.5968068515061498,0.5722395766947759,0.6315305747702316,nan,1.0489990030657137e-05
62,0.5968082833712898,0.5722444176936452,0.6315335332859181,nan,1.1720585381536785e-05
63,0.5962069437906492,0.5812072179313063,0.6318725862407992,nan,9.06769385137239e-06
64,0.5962076412434656,0.5812119151930046,0.6318748261657399,nan,1.2658348904379522e-05
65,0.5962075536353504,0.5812096028148175,0.6318751238461002,nan,9.132501028640014e-06
66,0.596205742893041,0.5812096737021408,0.6318704221146489,nan,1.544639776680764e-05
67,0.5962080755875729,0.5812180752479825,0.6318742306354064,nan,9.434912782448592e-06
68,0.59620721345831,0.5812168087477094,0.6318743957253083,nan,9.683135893939485e-06
69,0.5962069359310717,0.5812124991511333,0.6318723492747896,nan,1.6982142843399053e-05
70,0.5962063275037912,0.5812128269286759,0.6318718997573664,nan,1.2571300135934315e-05
71,0.5981124885477309,0.5820890873856115,0.6190893728155901,nan,1.3798949055211546e-05
72,0.5991254364126227,0.5876186623780449,0.6225524006168189,nan,9.41585974466851e-06
73,0.6018043335038501,0.5918341775390786,0.6259358909995666,nan,3.99690579058588e-06
74,0.6015944677101338,0.5923045969155135,0.6260799966708346,nan,4.137656240851918e-06
75,0.600867607168128,0.5919125476179138,0.6258297329091982,nan,3.093863756173566e-06
76,0.6008658310820797,0.5919100612014457,0.6258269912866151,nan,3.171441055202251e-06
77,0.6008683829059809,0.5919137947590989,0.6258314191111841,nan,2.8504251006073987e-06
78,0.600865516670505,0.5919117323168397,0.6258273774169154,nan,4.028169742864653e-06
79,0.6008661615661832,0.5919107194373681,0.625829565737518,nan,4.364643602297599e-06
80,0.6018608005329428,0.5957227115729082,0.6225631657062541,nan,2.8302210496284743e-06
81,0.6018602634315807,0.5957215132091066,0.6225628519910508,nan,2.7769234017923452e-06
82,0.601861580684339,0.5957230710815891,0.6225639561608551,nan,2.261087721522268e-06
