Feat_nb,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
135,0.6536337428153445,0.6344712474285658,nan,nan,1.3762467196820668e-17
136,0.6536337428153445,0.6344712474285658,nan,nan,1.3762467196820668e-17
137,0.653640616394803,0.6346144113512571,nan,nan,1.3762467196820668e-17
138,0.6541456529311145,0.6322289750675157,nan,nan,1.3762467196820668e-17
139,0.6541456529311145,0.6322289750675157,nan,nan,1.3762467196820668e-17
140,0.6541456529311145,0.6322289750675157,nan,nan,1.3762467196820668e-17
141,0.6541456529311145,0.6322289750675157,nan,nan,1.3762467196820668e-17
142,0.6541456529311145,0.6322289750675157,nan,nan,1.3762467196820668e-17
143,0.6541456529311145,0.6322289750675157,nan,nan,1.3762467196820668e-17
144,0.6541456529311145,0.6322289750675157,nan,nan,1.3762467196820668e-17
145,0.6541456529311145,0.6322289750675157,nan,nan,1.3762467196820668e-17
146,0.6541456529311145,0.6322289750675157,nan,nan,1.3762467196820668e-17
147,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
148,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
149,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
150,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
151,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
152,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
153,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
154,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
155,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
156,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
157,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
158,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
159,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
160,0.6564553262693771,0.6262805282730677,nan,nan,1.3762467196820668e-17
161,0.657892247473332,0.6291681616691756,nan,nan,1.3762467196820668e-17
162,0.657892247473332,0.6291681616691756,nan,nan,1.3762467196820668e-17
163,0.6580120180761171,0.6315228342225238,nan,nan,1.3762467196820668e-17
164,0.6580120180761171,0.6315228342225238,nan,nan,1.3762467196820668e-17
165,0.6580120180761171,0.6315228342225238,nan,nan,1.3762467196820668e-17
166,0.6580120180761171,0.6315228342225238,nan,nan,1.3762467196820668e-17
167,0.6580120180761171,0.6315228342225238,nan,nan,1.3762467196820668e-17
168,0.6580120180761171,0.6315228342225238,nan,nan,1.3762467196820668e-17
169,0.6580120180761171,0.6315228342225238,nan,nan,1.3762467196820668e-17
170,0.6580120180761171,0.6315228342225238,nan,nan,1.3762467196820668e-17
171,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
172,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
173,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
174,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
175,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
176,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
177,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
178,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
179,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
180,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
181,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
182,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
183,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
184,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
185,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
186,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
187,0.6581537488355899,0.6316621099885404,nan,nan,2.7524934393641335e-17
