nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
24,0.6178867702942451,0.5971010103597266,0.6448287912258669,0.6137361377220856,1.3762467196820668e-17
25,0.6178811381814637,0.5971010103597266,0.644832452230936,0.6137361377220856,1.3762467196820668e-17
26,0.6167132322416956,0.5977730094930503,0.6464405507761599,0.6180428661489307,3.7719489980455585e-05
27,0.6167106440927276,0.5977357424123051,0.6464372590459924,0.6180303873672554,3.528335207767933e-05
28,0.6167079922958418,0.5977978542135473,0.646439371984254,0.6180511853367143,3.07978346033796e-05
29,0.6115669957035627,0.6012010200182374,0.6385392168329231,0.6198455257157256,3.7719489980455585e-05
30,0.6071056657798756,0.6071727447040672,0.6369103074249768,0.6226734682030213,3.849729325422451e-05
31,0.6070911314205315,0.607445832693569,0.6369143923330383,0.6226693086091294,3.7719489980455585e-05
32,0.6070518563087532,0.6068928840290825,0.6369299863617576,0.6223822819296398,3.849729325422451e-05
33,0.598861323869758,0.570681703904859,0.6082989662638137,0.5904453399253514,0.0
34,0.5991747065996168,0.5758922677877998,0.6102617348922135,0.596379391784172,1.3762467196820668e-17
35,0.5998944505862702,0.5783191057606762,0.6115925397267554,0.5995181296272317,0.0
36,0.5999979462134583,0.5786917765681296,0.6120455526585737,0.599776375746306,0.0
37,0.6025776654727517,0.603039602655086,0.6613121528887451,0.6211786640880771,1.3762467196820668e-17
38,0.6088390742161093,0.6006630253861929,0.6514465845267452,0.619221953127593,0.00010819679399799254
39,0.6138663912287254,0.6037283183659226,0.649375933001574,0.6156544836774394,0.00012216803373784935
40,0.6157474618896214,0.6023150177598426,0.6116731768759734,0.6154550651588263,7.654803450326056e-05
41,0.624963980876116,0.6025257673292161,0.6243548092771347,0.6104065186794628,0.00010715272595039652
42,0.6249750208193315,0.6025960083697803,0.6243731157848171,0.6104679918865045,0.00011954431575971294
43,0.6250542551236681,0.6024101309348643,0.6245686138377908,0.6101595406753271,7.826681104687762e-05
44,0.6251410275191596,0.6029049652114563,0.6247924987626373,0.610494252125879,7.307036605071711e-05
45,0.6251351003801686,0.6028668327002761,0.6249260254002735,0.6104509491035051,6.400146259386676e-05
46,0.6251444716604179,0.6030621503695284,0.6249741695137951,0.6105700878528257,4.032428875737355e-05
47,0.6245501170357789,0.601023737283827,0.6249659383967878,0.6087288715135014,3.771991822384694e-05
48,0.6240367441359703,0.6003079707994433,0.6246960090932259,0.6077484207070556,7.654803450326881e-05
49,0.6238269197071443,0.5983113889612003,0.6246431989631119,0.606054061967425,3.771991822384694e-05
50,0.6238247345503147,0.5982715483237501,0.6246642994828869,0.6060229803168709,2.7524934393641335e-17
51,0.6238552539000575,0.5983512295986505,0.6246467790596716,0.6060922954684681,4.032428875735979e-05
52,0.6238351787351623,0.5983512295986505,0.6246708753034496,0.6060922954684681,4.032428875735979e-05
53,0.6238519434484625,0.5983246691736837,0.6246497597308472,0.6060668064677728,4.032428875735979e-05
54,0.6238307597649028,0.5983113889612003,0.6246609942448125,0.606061213817914,3.771991822384694e-05
55,0.6238393811103004,0.5983113889612003,0.6246707803463917,0.606054061967425,3.771991822384694e-05
56,0.6238476209411706,0.5983512295986505,0.6246653423865962,0.6060922954684681,4.032428875735979e-05
57,0.6238359308572006,0.5983379493861671,0.6247010143992546,0.6060867028186095,4.1155804873407704e-05
